name,time,contextswitch_,cpu_0_cpu_idle,cpu_0_cpu_interrupt,cpu_0_cpu_nice,cpu_0_cpu_softirq,cpu_0_cpu_steal,cpu_0_cpu_system,cpu_0_cpu_user,cpu_0_cpu_wait,cpu_1_cpu_idle,cpu_1_cpu_interrupt,cpu_1_cpu_nice,cpu_1_cpu_softirq,cpu_1_cpu_steal,cpu_1_cpu_system,cpu_1_cpu_user,cpu_1_cpu_wait,cpu_2_cpu_idle,cpu_2_cpu_interrupt,cpu_2_cpu_nice,cpu_2_cpu_softirq,cpu_2_cpu_steal,cpu_2_cpu_system,cpu_2_cpu_user,cpu_2_cpu_wait,cpu_3_cpu_idle,cpu_3_cpu_interrupt,cpu_3_cpu_nice,cpu_3_cpu_softirq,cpu_3_cpu_steal,cpu_3_cpu_system,cpu_3_cpu_user,cpu_3_cpu_wait,cpusleep_,hugepages_mm-1048576Kb_free,hugepages_mm-1048576Kb_used,hugepages_mm-2048Kb_free,hugepages_mm-2048Kb_used,hugepages_node0-1048576Kb_free,hugepages_node0-1048576Kb_used,hugepages_node0-2048Kb_free,hugepages_node0-2048Kb_used,interface_ens3_if_dropped_rx,interface_ens3_if_errors_rx,interface_ens3_if_octets_tx,interface_ens3_if_packets_tx,interface_ens4_if_dropped_tx,interface_ens4_if_errors_rx,interface_ens4_if_octets_rx,interface_ens4_if_packets_rx,interface_lo_if_dropped_rx,interface_lo_if_errors_rx,interface_lo_if_octets_tx,interface_lo_if_packets_rx,interface_virbr0-nic_if_dropped_tx,interface_virbr0-nic_if_errors_rx,interface_virbr0-nic_if_octets_rx,interface_virbr0-nic_if_packets_rx,interface_virbr0_if_dropped_rx,interface_virbr0_if_errors_rx,interface_virbr0_if_octets_rx,interface_virbr0_if_packets_tx,ipc_msg_headers,ipc_msg_queues,ipc_msg_space,ipc_sem_arrays,ipc_sem_total,ipc_shm_,ipc_shm_rss,ipc_shm_swapped,ipc_shm_total,irq_0,irq_1,irq_11,irq_12,irq_14,irq_15,irq_24,irq_25,irq_26,irq_27,irq_28,irq_29,irq_30,irq_31,irq_4,irq_6,irq_8,irq_9,irq_CAL,irq_DFR,irq_ERR,irq_IWI,irq_LOC,irq_MCE,irq_MCP,irq_MIS,irq_NMI,irq_PIN,irq_PIW,irq_PMI,irq_RES,irq_RTR,irq_SPU,irq_THR,irq_TLB,irq_TRM,memory_buffered,memory_cached,memory_free,memory_slab_recl,memory_slab_unrecl,memory_used,numa_node0_interleave_hit,numa_node0_local_node,numa_node0_numa_foreign,numa_node0_numa_hit,numa_node0_numa_miss,numa_node0_other_node,processes_,processes_blocked,processes_paging,processes_running,processes_sleeping,processes_stopped,processes_zombies,swap_cached,swap_free,swap_in,swap_out,swap_used
shorewell,1564385100000000000,474948154,649713469,0,10440,20686,136562,2291337,1785735,838168,646898454,0,12054,20819,180154,2489310,1784099,2997482,644912517,0,11013,145606,254962,2357070,1739992,3351925,645317223,0,14949,251770,266829,2115933,1730658,1407310,0,0,0,0,0,0,0,0,0,0,0,198231941903,2674573142,0,0,180215818027,2668470884,0,0,5813675708,6039301,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654908,15,0,0,0,123107288,0,2290408029,43287,0,461694099,130225,1380,3,0,0,129897629,0,0,0,275348748,0,87328,0,0,0,0,0,85419369,0,0,0,53957209,0,163778560,1703174144,1896935424,277901312,30707712,70537216,4544,18782958324,0,18782958324,0,0,939103,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385090000000000,474947587,649712470,0,10440,20686,136561,2291337,1785735,838168,646897458,0,12054,20819,180154,2489308,1784098,2997482,644911518,0,11013,145606,254962,2357070,1739992,3351925,645316225,0,14949,251770,266829,2115931,1730658,1407310,0,0,0,0,0,0,0,0,0,0,0,198231911992,2674573133,0,0,180215818027,2668470884,0,0,5813666108,6039291,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654907,15,0,0,0,123107228,0,2290408016,43287,0,461694099,130225,1380,3,0,0,129897466,0,0,0,275348393,0,87328,0,0,0,0,0,85419260,0,0,0,53957102,0,163778560,1703174144,1897132032,277901312,30707712,70340608,4544,18782958044,0,18782958044,0,0,939102,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385080000000000,474946959,649711472,0,10440,20686,136561,2291337,1785734,838168,646896460,0,12054,20819,180154,2489308,1784098,2997482,644910520,0,11013,145606,254961,2357069,1739992,3351925,645315226,0,14949,251769,266828,2115931,1730658,1407310,0,0,0,0,0,0,0,0,0,0,0,198231885060,2674573124,0,0,180215818027,2668470884,0,0,5813658419,6039283,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654906,15,0,0,0,123107120,0,2290408003,43287,0,461694099,130225,1380,3,0,0,129897374,0,0,0,275348027,0,87328,0,0,0,0,0,85419162,0,0,0,53957010,0,163778560,1703174144,1897164800,277901312,30642176,70373376,4544,18782957764,0,18782957764,0,0,939101,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385070000000000,474946286,649710473,0,10440,20686,136560,2291336,1785734,838168,646895465,0,12054,20819,180153,2489306,1784098,2997481,644909522,0,11013,145606,254961,2357068,1739992,3351925,645314226,0,14949,251769,266828,2115931,1730658,1407310,0,0,0,0,0,0,0,0,0,0,0,198231855128,2674573114,0,0,180215818027,2668470884,0,0,5813648808,6039273,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654905,15,0,0,0,123106936,0,2290407989,43287,0,461694099,130225,1380,3,0,0,129897220,0,0,0,275347645,0,87328,0,0,0,0,0,85419023,0,0,0,53956860,0,163778560,1703174144,1897132032,277901312,30642176,70406144,4544,18782957452,0,18782957452,0,0,939100,0,0,0,133,0,0,0,0,0,0,0
shorewell,1564385060000000000,474945619,649709482,0,10440,20686,136560,2291336,1785733,838160,646894467,0,12054,20819,180153,2489305,1784098,2997481,644908524,0,11013,145606,254961,2357067,1739992,3351925,645313228,0,14949,251769,266828,2115930,1730657,1407310,0,0,0,0,0,0,0,0,0,0,0,198231825341,2674573105,0,0,180215818027,2668470884,0,0,5813639133,6039263,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654904,15,0,0,0,123106721,0,2290407975,43287,0,461694099,130225,1380,3,0,0,129896878,0,0,0,275347273,0,87328,0,0,0,0,0,85418907,0,0,0,53956730,0,163778560,1703165952,1897148416,277901312,30642176,70397952,4544,18782957170,0,18782957170,0,0,939098,0,0,0,132,0,0,0,0,0,0,0
shorewell,1564385050000000000,474945019,649708484,0,10440,20686,136560,2291336,1785733,838160,646893470,0,12054,20819,180153,2489304,1784097,2997481,644907525,0,11013,145606,254961,2357066,1739992,3351925,645312229,0,14949,251769,266827,2115930,1730657,1407310,0,0,0,0,0,0,0,0,0,0,0,198231799667,2674573097,0,0,180215818027,2668470884,0,0,5813629486,6039253,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654903,15,0,0,0,123106677,0,2290407963,43287,0,461694099,130225,1380,3,0,0,129896714,0,0,0,275346923,0,87328,0,0,0,0,0,85418798,0,0,0,53956611,0,163778560,1703165952,1897115648,277901312,30642176,70430720,4544,18782956896,0,18782956896,0,0,939097,0,0,0,132,0,0,0,0,0,0,0
shorewell,1564385040000000000,474944420,649707486,0,10440,20686,136559,2291335,1785733,838160,646892472,0,12054,20819,180152,2489304,1784096,2997481,644906526,0,11013,145606,254960,2357065,1739992,3351924,645311230,0,14949,251769,266827,2115930,1730657,1407310,0,0,0,0,0,0,0,0,0,0,0,198231769671,2674573088,0,0,180215818027,2668470884,0,0,5813619889,6039243,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654902,15,0,0,0,123106604,0,2290407949,43287,0,461694099,130225,1380,3,0,0,129896493,0,0,0,275346544,0,87328,0,0,0,0,0,85418703,0,0,0,53956461,0,163778560,1703165952,1897082880,277901312,30642176,70463488,4544,18782956591,0,18782956591,0,0,939096,0,0,0,132,0,0,0,0,0,0,0
shorewell,1564385030000000000,474943727,649706494,0,10440,20686,136559,2291334,1785732,838154,646891474,0,12054,20819,180152,2489304,1784095,2997481,644905531,0,11013,145606,254960,2357061,1739991,3351923,645310231,0,14949,251769,266827,2115929,1730657,1407310,0,0,0,0,0,0,0,0,0,0,0,198231743932,2674573075,0,0,180215818027,2668470884,0,0,5813612193,6039235,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654901,15,0,0,0,123106435,0,2290407933,43287,0,461694099,130225,1380,3,0,0,129896226,0,0,0,275346174,0,87328,0,0,0,0,0,85418573,0,0,0,53956369,0,163778560,1703165952,1897050112,277901312,30674944,70463488,4544,18782956312,0,18782956312,0,0,939095,0,0,0,132,0,0,0,0,0,0,0
shorewell,1564385020000000000,474942922,649705504,0,10440,20686,136558,2291333,1785732,838146,646890477,0,12054,20819,180152,2489302,1784095,2997481,644904533,0,11013,145606,254960,2357060,1739991,3351923,645309234,0,14949,251769,266826,2115928,1730656,1407310,0,0,0,0,0,0,0,0,0,0,0,198231713923,2674573066,0,0,180215818027,2668470884,0,0,5813602540,6039225,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654900,15,0,0,0,123105986,0,2290407920,43287,0,461694099,130225,1380,3,0,0,129895622,0,0,0,275345788,0,87328,0,0,0,0,0,85418435,0,0,0,53956215,0,163778560,1703165952,1897017344,277901312,30674944,70496256,4544,18782956034,0,18782956034,0,0,939094,0,0,0,132,0,0,0,0,0,0,0
shorewell,1564385010000000000,474942269,649704506,0,10440,20686,136558,2291333,1785732,838146,646889481,0,12054,20819,180152,2489302,1784094,2997481,644903535,0,11013,145606,254960,2357059,1739991,3351923,645308234,0,14949,251769,266826,2115928,1730656,1407310,0,0,0,0,0,0,0,0,0,0,0,198231688296,2674573058,0,0,180215818027,2668470884,0,0,5813592844,6039215,0,0,0,0,0,0,0,0,0,32000,0,1,1,3,24576,0,24576,37,10,654899,15,0,0,0,123105887,0,2290407908,43287,0,461694099,130225,1380,3,0,0,129895419,0,0,0,275345411,0,87328,0,0,0,0,0,85418306,0,0,0,53956110,0,163778560,1703157760,1897017344,277901312,30642176,70537216,4544,18782955725,0,18782955725,0,0,939093,0,0,0,132,0,0,0,0,0,0,0
