name,time,bandwidth,throughput,traffic
kpi_tcp,1563370562000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563370552000000000,4.0927e+08,460435838,tcp_1000M
kpi_tcp,1563370542000000000,1.48684e+08,185860096,tcp_150M
kpi_tcp,1563370532000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370523000000000,9.89133e+07,111280128,tcp_100M
kpi_tcp,1563370512000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563370502000000000,4.07481e+08,458422034,tcp_1000M
kpi_tcp,1563370492000000000,1.48999e+08,186253312,tcp_150M
kpi_tcp,1563370482000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370473000000000,9.89134e+07,111280128,tcp_100M
kpi_tcp,1563370462000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563370452000000000,4.1131e+08,462730670,tcp_1000M
kpi_tcp,1563370442000000000,1.48789e+08,185991168,tcp_150M
kpi_tcp,1563370432000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370423000000000,9.90301e+07,111411200,tcp_100M
kpi_tcp,1563370412000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563370403000000000,4.05151e+08,455805258,tcp_1000M
kpi_tcp,1563370392000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563370383000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370373000000000,9.89135e+07,111280128,tcp_100M
kpi_tcp,1563370363000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563370353000000000,4.09703e+08,460921658,tcp_1000M
kpi_tcp,1563370343000000000,1.48579e+08,185729024,tcp_150M
kpi_tcp,1563370333000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370324000000000,9.89135e+07,111280128,tcp_100M
kpi_tcp,1563370313000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563370303000000000,3.87844e+08,436329440,tcp_1000M
kpi_tcp,1563370293000000000,1.48685e+08,185860096,tcp_150M
kpi_tcp,1563370283000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370273000000000,9.90298e+07,111411200,tcp_100M
kpi_tcp,1563370262000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563370252000000000,3.96392e+08,445953272,tcp_1000M
kpi_tcp,1563370242000000000,1.4879e+08,185991168,tcp_150M
